step,intersection,time_of_day,phase_used,duration,queue_ns,queue_ew,served_ns,served_ew,throughput,avg_wait_proxy,stops,emergency,explanation
383,1,afternoon,EW,12.437698766629147,2,0,0,7,7,1.0,2,False,"Neural policy: queues NS/EW=(0,3), time=afternoon, emergency=False"
383,2,afternoon,EW,12.437698766629147,4,0,0,5,5,2.0,4,False,"Neural policy: queues NS/EW=(0,3), time=afternoon, emergency=False"
384,0,afternoon,EW,12.440021049058146,4,0,0,5,5,2.0,4,False,"Neural policy: queues NS/EW=(0,3), time=afternoon, emergency=False"
384,1,afternoon,NS,12.315916107565885,0,3,6,0,6,1.5,3,False,"Neural policy: queues NS/EW=(2,0), time=afternoon, emergency=False"
384,2,afternoon,NS,12.31868915387199,0,3,7,0,7,1.5,3,False,"Neural policy: queues NS/EW=(4,0), time=afternoon, emergency=False"
385,0,afternoon,NS,12.320504780649781,0,3,8,0,8,1.5,3,False,"Neural policy: queues NS/EW=(4,0), time=afternoon, emergency=False"
385,1,afternoon,EW,12.441884699852611,2,0,0,5,5,1.0,2,False,"Neural policy: queues NS/EW=(0,3), time=afternoon, emergency=False"
385,2,afternoon,EW,12.441884699852611,2,0,0,5,5,1.0,2,False,"Neural policy: queues NS/EW=(0,3), time=afternoon, emergency=False"
386,0,afternoon,EW,12.44432184165792,3,0,0,5,5,1.5,3,False,"Neural policy: queues NS/EW=(0,3), time=afternoon, emergency=False"
386,1,afternoon,NS,12.32003929742679,0,4,5,0,5,2.0,4,False,"Neural policy: queues NS/EW=(2,0), time=afternoon, emergency=False"
386,2,afternoon,NS,12.32003929742679,0,2,6,0,6,1.0,2,False,"Neural policy: queues NS/EW=(2,0), time=afternoon, emergency=False"
387,0,afternoon,NS,12.323019853138456,0,2,5,0,5,1.0,2,False,"Neural policy: queues NS/EW=(3,0), time=afternoon, emergency=False"
387,1,afternoon,EW,12.440172222930332,3,0,0,8,8,1.5,3,False,"Neural policy: queues NS/EW=(0,4), time=afternoon, emergency=False"
387,2,afternoon,EW,12.451742007671879,4,0,0,4,4,2.0,4,False,"Neural policy: queues NS/EW=(0,2), time=afternoon, emergency=False"
388,0,afternoon,EW,12.453665797515757,2,0,0,6,6,1.0,2,False,"Neural policy: queues NS/EW=(0,2), time=afternoon, emergency=False"
388,1,afternoon,NS,12.324842946787358,0,3,6,0,6,1.5,3,False,"Neural policy: queues NS/EW=(3,0), time=afternoon, emergency=False"
388,2,afternoon,NS,12.326232650406917,0,2,6,0,6,1.0,2,False,"Neural policy: queues NS/EW=(4,0), time=afternoon, emergency=False"
389,0,afternoon,NS,12.325701263093807,0,4,5,0,5,2.0,4,False,"Neural policy: queues NS/EW=(2,0), time=afternoon, emergency=False"
389,1,afternoon,EW,12.450188533022525,4,0,0,5,5,2.0,4,False,"Neural policy: queues NS/EW=(0,3), time=afternoon, emergency=False"
389,2,afternoon,EW,12.45597149623261,3,0,0,6,6,1.5,3,False,"Neural policy: queues NS/EW=(0,2), time=afternoon, emergency=False"
390,0,afternoon,EW,12.445812832496937,4,0,0,6,6,2.0,4,False,"Neural policy: queues NS/EW=(0,4), time=afternoon, emergency=False"
390,1,afternoon,NS,12.329817213912502,0,4,7,0,7,2.0,4,False,"Neural policy: queues NS/EW=(4,0), time=afternoon, emergency=False"
390,2,afternoon,NS,12.328426569800355,0,2,6,0,6,1.0,2,False,"Neural policy: queues NS/EW=(3,0), time=afternoon, emergency=False"
391,0,afternoon,NS,12.331807530825019,0,4,6,0,6,2.0,4,False,"Neural policy: queues NS/EW=(4,0), time=afternoon, emergency=False"
391,1,afternoon,EW,12.242212289630945,4,0,0,7,7,2.0,4,True,"Neural policy: queues NS/EW=(0,4), time=afternoon, emergency=True | Emergency override: granted immediate green to priority approach."
391,2,afternoon,EW,12.459425956653137,4,0,0,4,4,2.0,4,False,"Neural policy: queues NS/EW=(0,2), time=afternoon, emergency=False"
392,0,afternoon,EW,12.449304525143797,3,0,0,8,8,1.5,3,False,"Neural policy: queues NS/EW=(0,4), time=afternoon, emergency=False"
392,1,afternoon,EW,12.477930307598921,7,0,0,2,2,3.5,7,False,"Neural policy: queues NS/EW=(4,0), time=afternoon, emergency=False"
392,2,afternoon,NS,12.333181345532305,0,4,8,0,8,2.0,4,False,"Neural policy: queues NS/EW=(4,0), time=afternoon, emergency=False"
393,0,afternoon,NS,12.333019339255916,0,4,5,0,5,2.0,4,False,"Neural policy: queues NS/EW=(3,0), time=afternoon, emergency=False"
393,1,afternoon,NS,12.338604428669344,0,3,9,0,9,1.5,3,False,"Neural policy: queues NS/EW=(7,0), time=afternoon, emergency=False"
393,2,afternoon,EW,12.450566316071745,4,0,0,7,7,2.0,4,False,"Neural policy: queues NS/EW=(0,4), time=afternoon, emergency=False"
394,0,afternoon,EW,12.452953600009746,3,0,0,7,7,1.5,3,False,"Neural policy: queues NS/EW=(0,4), time=afternoon, emergency=False"
394,1,afternoon,EW,12.458741075302683,2,0,0,7,7,1.0,2,False,"Neural policy: queues NS/EW=(0,3), time=afternoon, emergency=False"
